,StudentID,Timestamp,state,prop,leaning,topUrl,isRelevant,isAd,non_us_loc,issues
39,39,2020-11-02 12:04:12,Intl,24,0,https://calmatters.org/election-2020-guide/proposition-24-data-privacy/,TRUE,FALSE,Croatia,"For the question ""Is the top result for or against CA prop 22?"", I was not completely sure what to answer, but I believe it is neutral, as I answered at the end."
39,39,2020-11-02 12:04:12,Intl,22,0,"https://ballotpedia.org/California_Proposition_22,_App-Based_Drivers_as_Contractors_and_Labor_Policies_Initiative_(2020)",TRUE,FALSE,Croatia,"For the question ""Is the top result for or against CA prop 22?"", I was not completely sure what to answer, but I believe it is neutral, as I answered at the end."
40,40,2020-11-02 13:26:14,CA,24,1,,TRUE,TRUE,,
40,40,2020-11-02 13:26:14,CA,22,1,https://www.google.com/search?q=prop+22&rlz=1C5CHFA_enUS907US907&oq=prop+22&aqs=chrome..69i57j69i59.1496j0j1&sourceid=chrome&ie=UTF-8,TRUE,TRUE,,
41,41,2020-11-02 14:03:29,CA,22,0,"https://ballotpedia.org/California_Proposition_22,_App-Based_Drivers_as_Contractors_and_Labor_Policies_Initiative_(2020)",TRUE,FALSE,,
41,41,2020-11-02 14:03:29,CA,24,0,"https://ballotpedia.org/California_Proposition_24,_Consumer_Personal_Information_Law_and_Agency_Initiative_(2020)",TRUE,FALSE,,
42,42,2020-11-02 14:07:04,CA,24,1,https://www.caprivacy.org/?utm_source=google&utm_medium=search&utm_campaign=prop24&utm_content=kids,TRUE,TRUE,,
42,42,2020-11-02 14:07:04,CA,22,0,"https://ballotpedia.org/California_Proposition_22,_App-Based_Drivers_as_Contractors_and_Labor_Policies_Initiative_(2020)",TRUE,FALSE,,
43,43,2020-11-02 14:07:37,CA,24,1,https://www.caprivacy.org/?utm_source=google&utm_medium=search&utm_campaign=prop24&utm_content=kids,TRUE,TRUE,,
43,43,2020-11-02 14:07:37,CA,22,1,https://yeson22.com/?gclid=CjwKCAiA-f78BRBbEiwATKRRBJgzTDX-FVr0NgABQY-Rq_uBGvq6XDXMhbZFsPI3srEppR767Z259RoCkRoQAvD_BwE,TRUE,TRUE,,
44,44,2020-11-02 14:08:27,CA,24,0,"https://ballotpedia.org/California_Proposition_24,_Consumer_Personal_Information_Law_and_Agency_Initiative_(2020)",TRUE,FALSE,,"No complications, but my data may be biased as I have used ballotpedia extensively to research props/election candidates in the past; google saving my search history may have influenced the search results"
